,REF_AREA,TIME_PERIOD,INDICATOR,AGE,OBS_VALUE
0,ABW,2000,DM_NET_MG_RATE,_T,13.964
1,AFG,2000,DM_NET_MG_RATE,_T,-50.229
2,AGO,2000,DM_NET_MG_RATE,_T,3.27
3,AIA,2000,DM_NET_MG_RATE,_T,23.291
4,ALB,2000,DM_NET_MG_RATE,_T,-19.799
5,AND,2000,DM_NET_MG_RATE,_T,2.211
6,ARE,2000,DM_NET_MG_RATE,_T,41.058
7,ARG,2000,DM_NET_MG_RATE,_T,-0.614
8,ARM,2000,DM_NET_MG_RATE,_T,-16.244
9,ASM,2000,DM_NET_MG_RATE,_T,-19.689
10,ATG,2000,DM_NET_MG_RATE,_T,3.614
11,AUS,2000,DM_NET_MG_RATE,_T,5.768
12,AUT,2000,DM_NET_MG_RATE,_T,2.191
13,AZE,2000,DM_NET_MG_RATE,_T,1.948
14,BDI,2000,DM_NET_MG_RATE,_T,-6.338
15,BEL,2000,DM_NET_MG_RATE,_T,3.148
16,BEN,2000,DM_NET_MG_RATE,_T,0.477
17,BES,2000,DM_NET_MG_RATE,_T,4.094
18,BFA,2000,DM_NET_MG_RATE,_T,0.327
19,BGD,2000,DM_NET_MG_RATE,_T,-3.282
20,BGR,2000,DM_NET_MG_RATE,_T,-1.394
21,BHR,2000,DM_NET_MG_RATE,_T,8.844
22,BHS,2000,DM_NET_MG_RATE,_T,2.597
23,BIH,2000,DM_NET_MG_RATE,_T,1.95
24,BLM,2000,DM_NET_MG_RATE,_T,21.126
25,BLR,2000,DM_NET_MG_RATE,_T,-1.015
26,BLZ,2000,DM_NET_MG_RATE,_T,7.003
27,BMU,2000,DM_NET_MG_RATE,_T,-1.091
28,BOL,2000,DM_NET_MG_RATE,_T,-2.055
29,BRA,2000,DM_NET_MG_RATE,_T,-0.01
30,BRB,2000,DM_NET_MG_RATE,_T,-3.144
31,BRN,2000,DM_NET_MG_RATE,_T,4.989
32,BTN,2000,DM_NET_MG_RATE,_T,10.391
33,BWA,2000,DM_NET_MG_RATE,_T,4.625
34,CAF,2000,DM_NET_MG_RATE,_T,2.152
35,CAN,2000,DM_NET_MG_RATE,_T,6.594
36,CHE,2000,DM_NET_MG_RATE,_T,3.357
37,CHL,2000,DM_NET_MG_RATE,_T,0.377
38,CHN,2000,DM_NET_MG_RATE,_T,-0.435
39,CIV,2000,DM_NET_MG_RATE,_T,-3.794
40,CMR,2000,DM_NET_MG_RATE,_T,-1.405
41,COD,2000,DM_NET_MG_RATE,_T,-0.987
42,COG,2000,DM_NET_MG_RATE,_T,25.782
43,COK,2000,DM_NET_MG_RATE,_T,-54.535
44,COL,2000,DM_NET_MG_RATE,_T,-0.793
45,COM,2000,DM_NET_MG_RATE,_T,-5.521
46,CPV,2000,DM_NET_MG_RATE,_T,-5.923
47,CRI,2000,DM_NET_MG_RATE,_T,3.421
48,CUB,2000,DM_NET_MG_RATE,_T,-2.244
49,CUW,2000,DM_NET_MG_RATE,_T,-18.442
50,CYM,2000,DM_NET_MG_RATE,_T,26.042
51,CYP,2000,DM_NET_MG_RATE,_T,12.288
52,CZE,2000,DM_NET_MG_RATE,_T,0.41
53,DEU,2000,DM_NET_MG_RATE,_T,0.747
54,DJI,2000,DM_NET_MG_RATE,_T,7.611
55,DMA,2000,DM_NET_MG_RATE,_T,-14.439
56,DNK,2000,DM_NET_MG_RATE,_T,2.35
57,DOM,2000,DM_NET_MG_RATE,_T,-3.533
58,DZA,2000,DM_NET_MG_RATE,_T,-0.617
59,ECU,2000,DM_NET_MG_RATE,_T,-3.313
60,EGY,2000,DM_NET_MG_RATE,_T,-0.039
61,ERI,2000,DM_NET_MG_RATE,_T,-13.776
62,ESP,2000,DM_NET_MG_RATE,_T,4.309
63,EST,2000,DM_NET_MG_RATE,_T,-2.309
64,ETH,2000,DM_NET_MG_RATE,_T,-0.744
65,FIN,2000,DM_NET_MG_RATE,_T,0.469
66,FJI,2000,DM_NET_MG_RATE,_T,-7.278
67,FLK,2000,DM_NET_MG_RATE,_T,17.323
68,FRA,2000,DM_NET_MG_RATE,_T,1.754
69,FRO,2000,DM_NET_MG_RATE,_T,7.295
70,FSM,2000,DM_NET_MG_RATE,_T,-23.751
71,GAB,2000,DM_NET_MG_RATE,_T,2.427
72,GBR,2000,DM_NET_MG_RATE,_T,2.743
73,GEO,2000,DM_NET_MG_RATE,_T,-31.174
74,GHA,2000,DM_NET_MG_RATE,_T,-0.214
75,GIB,2000,DM_NET_MG_RATE,_T,-5.283
76,GIN,2000,DM_NET_MG_RATE,_T,-9.259
77,GLP,2000,DM_NET_MG_RATE,_T,-17.456
78,GMB,2000,DM_NET_MG_RATE,_T,-2.553
79,GNB,2000,DM_NET_MG_RATE,_T,-5.647
80,GNQ,2000,DM_NET_MG_RATE,_T,22.662
81,GRC,2000,DM_NET_MG_RATE,_T,3.248
82,GRD,2000,DM_NET_MG_RATE,_T,-5.443
83,GRL,2000,DM_NET_MG_RATE,_T,-4.687
84,GTM,2000,DM_NET_MG_RATE,_T,-5.62
85,GUF,2000,DM_NET_MG_RATE,_T,16.906
86,GUM,2000,DM_NET_MG_RATE,_T,-9.725
87,GUY,2000,DM_NET_MG_RATE,_T,-17.212
88,HKG,2000,DM_NET_MG_RATE,_T,9.057
89,HND,2000,DM_NET_MG_RATE,_T,-1.615
90,HRV,2000,DM_NET_MG_RATE,_T,-11.107
91,HTI,2000,DM_NET_MG_RATE,_T,-3.236
92,HUN,2000,DM_NET_MG_RATE,_T,1.518
93,IDN,2000,DM_NET_MG_RATE,_T,-0.199
94,IMN,2000,DM_NET_MG_RATE,_T,13.029
95,IND,2000,DM_NET_MG_RATE,_T,-0.142
96,IRL,2000,DM_NET_MG_RATE,_T,8.32
97,IRN,2000,DM_NET_MG_RATE,_T,6.038
98,IRQ,2000,DM_NET_MG_RATE,_T,3.563
99,ISL,2000,DM_NET_MG_RATE,_T,6.679
100,ISR,2000,DM_NET_MG_RATE,_T,4.464
101,ITA,2000,DM_NET_MG_RATE,_T,0.863
102,JAM,2000,DM_NET_MG_RATE,_T,-7.062
103,JOR,2000,DM_NET_MG_RATE,_T,-5.144
104,JPN,2000,DM_NET_MG_RATE,_T,0.666
105,KAZ,2000,DM_NET_MG_RATE,_T,-2.846
106,KEN,2000,DM_NET_MG_RATE,_T,0.175
107,KGZ,2000,DM_NET_MG_RATE,_T,-4.275
108,KHM,2000,DM_NET_MG_RATE,_T,-0.351
109,KIR,2000,DM_NET_MG_RATE,_T,-5.759
110,KNA,2000,DM_NET_MG_RATE,_T,5.472
111,KOR,2000,DM_NET_MG_RATE,_T,-1.551
112,KWT,2000,DM_NET_MG_RATE,_T,9.969
113,LAO,2000,DM_NET_MG_RATE,_T,-6.243
114,LBN,2000,DM_NET_MG_RATE,_T,0.105
115,LBR,2000,DM_NET_MG_RATE,_T,-0.711
116,LBY,2000,DM_NET_MG_RATE,_T,6.222
117,LCA,2000,DM_NET_MG_RATE,_T,-4.84
118,LIE,2000,DM_NET_MG_RATE,_T,6.322
119,LKA,2000,DM_NET_MG_RATE,_T,-4.881
120,LSO,2000,DM_NET_MG_RATE,_T,-11.725
121,LTU,2000,DM_NET_MG_RATE,_T,-8.642
122,LUX,2000,DM_NET_MG_RATE,_T,10.168
123,LVA,2000,DM_NET_MG_RATE,_T,-8.535
124,MAC,2000,DM_NET_MG_RATE,_T,9.621
125,MAF,2000,DM_NET_MG_RATE,_T,5.376
126,MAR,2000,DM_NET_MG_RATE,_T,-3.16
127,MCO,2000,DM_NET_MG_RATE,_T,0.492
128,MDA,2000,DM_NET_MG_RATE,_T,-10.394
129,MDG,2000,DM_NET_MG_RATE,_T,0.03
130,MDV,2000,DM_NET_MG_RATE,_T,0.471
131,MEX,2000,DM_NET_MG_RATE,_T,-3.635
132,MHL,2000,DM_NET_MG_RATE,_T,-24.097
133,MKD,2000,DM_NET_MG_RATE,_T,2.71
134,MLI,2000,DM_NET_MG_RATE,_T,-1.549
135,MLT,2000,DM_NET_MG_RATE,_T,4.517
136,MMR,2000,DM_NET_MG_RATE,_T,-2.343
137,MNE,2000,DM_NET_MG_RATE,_T,-6.955
138,MNG,2000,DM_NET_MG_RATE,_T,-4.412
139,MNP,2000,DM_NET_MG_RATE,_T,-14.204
140,MOZ,2000,DM_NET_MG_RATE,_T,-3.285
141,MRT,2000,DM_NET_MG_RATE,_T,-1.111
142,MSR,2000,DM_NET_MG_RATE,_T,-110.426
143,MTQ,2000,DM_NET_MG_RATE,_T,-15.733
144,MUS,2000,DM_NET_MG_RATE,_T,-2.072
145,MWI,2000,DM_NET_MG_RATE,_T,-2.582
146,MYS,2000,DM_NET_MG_RATE,_T,7.614
147,MYT,2000,DM_NET_MG_RATE,_T,7.28
148,NAM,2000,DM_NET_MG_RATE,_T,3.143
149,NCL,2000,DM_NET_MG_RATE,_T,4.383
150,NER,2000,DM_NET_MG_RATE,_T,-0.734
151,NGA,2000,DM_NET_MG_RATE,_T,0.278
152,NIC,2000,DM_NET_MG_RATE,_T,-8.183
153,NIU,2000,DM_NET_MG_RATE,_T,-37.895
154,NLD,2000,DM_NET_MG_RATE,_T,1.363
155,NOR,2000,DM_NET_MG_RATE,_T,2.182
156,NPL,2000,DM_NET_MG_RATE,_T,-5.984
157,NRU,2000,DM_NET_MG_RATE,_T,-21.259
158,NZL,2000,DM_NET_MG_RATE,_T,-1.576
159,OMN,2000,DM_NET_MG_RATE,_T,-8.448
160,PAK,2000,DM_NET_MG_RATE,_T,6.112
161,PAN,2000,DM_NET_MG_RATE,_T,0.867
162,PER,2000,DM_NET_MG_RATE,_T,-3.541
163,PHL,2000,DM_NET_MG_RATE,_T,-1.576
164,PLW,2000,DM_NET_MG_RATE,_T,4.013
165,PNG,2000,DM_NET_MG_RATE,_T,7.626
166,POL,2000,DM_NET_MG_RATE,_T,8.231
167,PRI,2000,DM_NET_MG_RATE,_T,-5.859
168,PRK,2000,DM_NET_MG_RATE,_T,-0.134
169,PRT,2000,DM_NET_MG_RATE,_T,6.153
170,PRY,2000,DM_NET_MG_RATE,_T,-3.095
171,PSE,2000,DM_NET_MG_RATE,_T,-3.655
172,PYF,2000,DM_NET_MG_RATE,_T,-1.831
173,QAT,2000,DM_NET_MG_RATE,_T,34.698
174,REU,2000,DM_NET_MG_RATE,_T,-1.931
175,ROU,2000,DM_NET_MG_RATE,_T,-4.18
176,RUS,2000,DM_NET_MG_RATE,_T,2.762
177,RWA,2000,DM_NET_MG_RATE,_T,-12.237
178,SAU,2000,DM_NET_MG_RATE,_T,0.8
179,SDN,2000,DM_NET_MG_RATE,_T,-3.063
180,SEN,2000,DM_NET_MG_RATE,_T,-4.416
181,SGP,2000,DM_NET_MG_RATE,_T,9.756
182,SHN,2000,DM_NET_MG_RATE,_T,-16.792
183,SLB,2000,DM_NET_MG_RATE,_T,-4.957
184,SLE,2000,DM_NET_MG_RATE,_T,18.271
185,SLV,2000,DM_NET_MG_RATE,_T,-16.172
186,SMR,2000,DM_NET_MG_RATE,_T,14.488
187,SOM,2000,DM_NET_MG_RATE,_T,6.161
188,SPM,2000,DM_NET_MG_RATE,_T,-5.397
189,SRB,2000,DM_NET_MG_RATE,_T,0.262
190,SSD,2000,DM_NET_MG_RATE,_T,12.211
191,STP,2000,DM_NET_MG_RATE,_T,-17.305
192,SUR,2000,DM_NET_MG_RATE,_T,1.281
193,SVK,2000,DM_NET_MG_RATE,_T,-0.211
194,SVN,2000,DM_NET_MG_RATE,_T,-0.787
195,SWE,2000,DM_NET_MG_RATE,_T,3.131
196,SWZ,2000,DM_NET_MG_RATE,_T,-6.47
197,SXM,2000,DM_NET_MG_RATE,_T,-19.305
198,SYC,2000,DM_NET_MG_RATE,_T,4.707
199,SYR,2000,DM_NET_MG_RATE,_T,-1.131
200,TCA,2000,DM_NET_MG_RATE,_T,22.545
201,TCD,2000,DM_NET_MG_RATE,_T,-0.465
202,TGO,2000,DM_NET_MG_RATE,_T,0.941
203,THA,2000,DM_NET_MG_RATE,_T,1.89
204,TJK,2000,DM_NET_MG_RATE,_T,-2.208
205,TKL,2000,DM_NET_MG_RATE,_T,-8.359
206,TKM,2000,DM_NET_MG_RATE,_T,-2.071
207,TLS,2000,DM_NET_MG_RATE,_T,-14.312
208,TON,2000,DM_NET_MG_RATE,_T,-15.636
209,TTO,2000,DM_NET_MG_RATE,_T,-3.884
210,TUN,2000,DM_NET_MG_RATE,_T,-1.765
211,TUR,2000,DM_NET_MG_RATE,_T,-1.211
212,TUV,2000,DM_NET_MG_RATE,_T,-16.569
213,TWN,2000,DM_NET_MG_RATE,_T,-0.419
214,TZA,2000,DM_NET_MG_RATE,_T,-0.364
215,UGA,2000,DM_NET_MG_RATE,_T,-2.197
216,UKR,2000,DM_NET_MG_RATE,_T,-1.589
217,UNICEF_EAP,2000,DM_NET_MG_RATE,_T,-0.28
218,UNICEF_EAPRO,2000,DM_NET_MG_RATE,_T,-0.397
219,UNICEF_ECARO,2000,DM_NET_MG_RATE,_T,-2.701
220,UNICEF_EECA,2000,DM_NET_MG_RATE,_T,-0.845
221,UNICEF_ESA,2000,DM_NET_MG_RATE,_T,-1.436
222,UNICEF_ESARO,2000,DM_NET_MG_RATE,_T,-1.324
223,UNICEF_LAC,2000,DM_NET_MG_RATE,_T,-1.758
224,UNICEF_LACRO,2000,DM_NET_MG_RATE,_T,-1.759
225,UNICEF_MENA,2000,DM_NET_MG_RATE,_T,1.392
226,UNICEF_MENARO,2000,DM_NET_MG_RATE,_T,1.006
227,UNICEF_NA,2000,DM_NET_MG_RATE,_T,5.384
228,UNICEF_ROSA,2000,DM_NET_MG_RATE,_T,-0.621
229,UNICEF_SA,2000,DM_NET_MG_RATE,_T,-0.621
230,UNICEF_WCA,2000,DM_NET_MG_RATE,_T,-0.23
231,UNICEF_WCARO,2000,DM_NET_MG_RATE,_T,-0.23
232,UNICEF_WE,2000,DM_NET_MG_RATE,_T,2.434
233,UNSDG_LDC,2000,DM_NET_MG_RATE,_T,-3.412
234,URY,2000,DM_NET_MG_RATE,_T,-3.358
235,USA,2000,DM_NET_MG_RATE,_T,5.252
236,UZB,2000,DM_NET_MG_RATE,_T,-2.667
237,VAT,2000,DM_NET_MG_RATE,_T,0
238,VCT,2000,DM_NET_MG_RATE,_T,-14.118
239,VEN,2000,DM_NET_MG_RATE,_T,-0.082
240,VGB,2000,DM_NET_MG_RATE,_T,16.366
241,VIR,2000,DM_NET_MG_RATE,_T,-8.474
242,VNM,2000,DM_NET_MG_RATE,_T,-1.909
243,VUT,2000,DM_NET_MG_RATE,_T,-2.381
244,WLF,2000,DM_NET_MG_RATE,_T,-5.219
245,WORLD,2000,DM_NET_MG_RATE,_T,0
246,WSM,2000,DM_NET_MG_RATE,_T,-16.278
247,XKX,2000,DM_NET_MG_RATE,_T,-5.023
248,YEM,2000,DM_NET_MG_RATE,_T,-4.699
249,ZAF,2000,DM_NET_MG_RATE,_T,-1.716
250,ZMB,2000,DM_NET_MG_RATE,_T,-0.521
251,ZWE,2000,DM_NET_MG_RATE,_T,-11.534
252,ABW,2001,DM_NET_MG_RATE,_T,6.195
253,AFG,2001,DM_NET_MG_RATE,_T,-9.717
254,AGO,2001,DM_NET_MG_RATE,_T,3.367
255,AIA,2001,DM_NET_MG_RATE,_T,11.274
256,ALB,2001,DM_NET_MG_RATE,_T,-19.494
257,AND,2001,DM_NET_MG_RATE,_T,40.449
258,ARE,2001,DM_NET_MG_RATE,_T,38.435
259,ARG,2001,DM_NET_MG_RATE,_T,-0.608
260,ARM,2001,DM_NET_MG_RATE,_T,-14.101
261,ASM,2001,DM_NET_MG_RATE,_T,-25.441
262,ATG,2001,DM_NET_MG_RATE,_T,1.945
263,AUS,2001,DM_NET_MG_RATE,_T,5.936
264,AUT,2001,DM_NET_MG_RATE,_T,4.885
265,AZE,2001,DM_NET_MG_RATE,_T,1.964
266,BDI,2001,DM_NET_MG_RATE,_T,1.542
267,BEL,2001,DM_NET_MG_RATE,_T,3.444
268,BEN,2001,DM_NET_MG_RATE,_T,0.517
269,BES,2001,DM_NET_MG_RATE,_T,20.67
270,BFA,2001,DM_NET_MG_RATE,_T,0.87
271,BGD,2001,DM_NET_MG_RATE,_T,-2.636
272,BGR,2001,DM_NET_MG_RATE,_T,-1.073
273,BHR,2001,DM_NET_MG_RATE,_T,7.841
274,BHS,2001,DM_NET_MG_RATE,_T,0.889
275,BIH,2001,DM_NET_MG_RATE,_T,2.162
276,BLM,2001,DM_NET_MG_RATE,_T,20.982
277,BLR,2001,DM_NET_MG_RATE,_T,-1.216
278,BLZ,2001,DM_NET_MG_RATE,_T,7.736
279,BMU,2001,DM_NET_MG_RATE,_T,-2.393
280,BOL,2001,DM_NET_MG_RATE,_T,-1.889
281,BRA,2001,DM_NET_MG_RATE,_T,0.019
282,BRB,2001,DM_NET_MG_RATE,_T,-0.388
283,BRN,2001,DM_NET_MG_RATE,_T,4.629
284,BTN,2001,DM_NET_MG_RATE,_T,9.996
285,BWA,2001,DM_NET_MG_RATE,_T,4.219
286,CAF,2001,DM_NET_MG_RATE,_T,-8.546
287,CAN,2001,DM_NET_MG_RATE,_T,7.264
288,CHE,2001,DM_NET_MG_RATE,_T,4.882
289,CHL,2001,DM_NET_MG_RATE,_T,0.433
290,CHN,2001,DM_NET_MG_RATE,_T,-0.381
291,CIV,2001,DM_NET_MG_RATE,_T,-4.439
292,CMR,2001,DM_NET_MG_RATE,_T,-1.239
293,COD,2001,DM_NET_MG_RATE,_T,0.529
294,COG,2001,DM_NET_MG_RATE,_T,-0.239
295,COK,2001,DM_NET_MG_RATE,_T,-52.617
296,COL,2001,DM_NET_MG_RATE,_T,-0.693
297,COM,2001,DM_NET_MG_RATE,_T,-4.648
298,CPV,2001,DM_NET_MG_RATE,_T,-6.652
299,CRI,2001,DM_NET_MG_RATE,_T,2.708
300,CUB,2001,DM_NET_MG_RATE,_T,-2.003
301,CUW,2001,DM_NET_MG_RATE,_T,-6.846
302,CYM,2001,DM_NET_MG_RATE,_T,25.615
303,CYP,2001,DM_NET_MG_RATE,_T,12.574
304,CZE,2001,DM_NET_MG_RATE,_T,2.102
305,DEU,2001,DM_NET_MG_RATE,_T,0.595
306,DJI,2001,DM_NET_MG_RATE,_T,10.017
307,DMA,2001,DM_NET_MG_RATE,_T,-8.8
308,DNK,2001,DM_NET_MG_RATE,_T,2.229
309,DOM,2001,DM_NET_MG_RATE,_T,-3.497
310,DZA,2001,DM_NET_MG_RATE,_T,-0.826
311,ECU,2001,DM_NET_MG_RATE,_T,-2.719
312,EGY,2001,DM_NET_MG_RATE,_T,0.013
313,ERI,2001,DM_NET_MG_RATE,_T,17.105
314,ESP,2001,DM_NET_MG_RATE,_T,4.54
315,EST,2001,DM_NET_MG_RATE,_T,-2.463
316,ETH,2001,DM_NET_MG_RATE,_T,-0.276
317,FIN,2001,DM_NET_MG_RATE,_T,1.233
318,FJI,2001,DM_NET_MG_RATE,_T,-7.35
319,FLK,2001,DM_NET_MG_RATE,_T,4.479
320,FRA,2001,DM_NET_MG_RATE,_T,2.073
321,FRO,2001,DM_NET_MG_RATE,_T,8.605
322,FSM,2001,DM_NET_MG_RATE,_T,-24.115
323,GAB,2001,DM_NET_MG_RATE,_T,2.914
324,GBR,2001,DM_NET_MG_RATE,_T,3.165
325,GEO,2001,DM_NET_MG_RATE,_T,-26.427
326,GHA,2001,DM_NET_MG_RATE,_T,1.787
327,GIB,2001,DM_NET_MG_RATE,_T,-7.724
328,GIN,2001,DM_NET_MG_RATE,_T,-18.217
329,GLP,2001,DM_NET_MG_RATE,_T,-18.912
330,GMB,2001,DM_NET_MG_RATE,_T,-2.615
331,GNB,2001,DM_NET_MG_RATE,_T,-4.949
332,GNQ,2001,DM_NET_MG_RATE,_T,21.192
333,GRC,2001,DM_NET_MG_RATE,_T,2.225
334,GRD,2001,DM_NET_MG_RATE,_T,-6.801
335,GRL,2001,DM_NET_MG_RATE,_T,-5.447
336,GTM,2001,DM_NET_MG_RATE,_T,-4.921
337,GUF,2001,DM_NET_MG_RATE,_T,17.031
338,GUM,2001,DM_NET_MG_RATE,_T,-11.682
339,GUY,2001,DM_NET_MG_RATE,_T,-17.045
340,HKG,2001,DM_NET_MG_RATE,_T,4.757
341,HND,2001,DM_NET_MG_RATE,_T,-1.425
342,HRV,2001,DM_NET_MG_RATE,_T,-3.894
343,HTI,2001,DM_NET_MG_RATE,_T,-3.148
344,HUN,2001,DM_NET_MG_RATE,_T,0.976
345,IDN,2001,DM_NET_MG_RATE,_T,-0.296
346,IMN,2001,DM_NET_MG_RATE,_T,11.143
347,IND,2001,DM_NET_MG_RATE,_T,-0.164
348,IRL,2001,DM_NET_MG_RATE,_T,10.362
349,IRN,2001,DM_NET_MG_RATE,_T,5.917
350,IRQ,2001,DM_NET_MG_RATE,_T,0.568
351,ISL,2001,DM_NET_MG_RATE,_T,3.007
352,ISR,2001,DM_NET_MG_RATE,_T,3.758
353,ITA,2001,DM_NET_MG_RATE,_T,0.826
354,JAM,2001,DM_NET_MG_RATE,_T,-7.007
355,JOR,2001,DM_NET_MG_RATE,_T,-4.424
356,JPN,2001,DM_NET_MG_RATE,_T,0.734
357,KAZ,2001,DM_NET_MG_RATE,_T,-1.879
358,KEN,2001,DM_NET_MG_RATE,_T,1.732
359,KGZ,2001,DM_NET_MG_RATE,_T,-4.859
360,KHM,2001,DM_NET_MG_RATE,_T,-0.325
361,KIR,2001,DM_NET_MG_RATE,_T,-2.846
362,KNA,2001,DM_NET_MG_RATE,_T,-0.109
363,KOR,2001,DM_NET_MG_RATE,_T,-0.571
364,KWT,2001,DM_NET_MG_RATE,_T,8.615
365,LAO,2001,DM_NET_MG_RATE,_T,-6.07
366,LBN,2001,DM_NET_MG_RATE,_T,-0.249
367,LBR,2001,DM_NET_MG_RATE,_T,2.398
368,LBY,2001,DM_NET_MG_RATE,_T,5.908
369,LCA,2001,DM_NET_MG_RATE,_T,-3.458
370,LIE,2001,DM_NET_MG_RATE,_T,3.3
371,LKA,2001,DM_NET_MG_RATE,_T,-0.824
372,LSO,2001,DM_NET_MG_RATE,_T,-12.23
373,LTU,2001,DM_NET_MG_RATE,_T,-9.277
374,LUX,2001,DM_NET_MG_RATE,_T,7.598
375,LVA,2001,DM_NET_MG_RATE,_T,-8.402
376,MAC,2001,DM_NET_MG_RATE,_T,15.103
377,MAF,2001,DM_NET_MG_RATE,_T,5.214
378,MAR,2001,DM_NET_MG_RATE,_T,-2.924
379,MCO,2001,DM_NET_MG_RATE,_T,-1.998
380,MDA,2001,DM_NET_MG_RATE,_T,-10.922
381,MDG,2001,DM_NET_MG_RATE,_T,0.029
382,MDV,2001,DM_NET_MG_RATE,_T,1.906
383,MEX,2001,DM_NET_MG_RATE,_T,-3.499
384,MHL,2001,DM_NET_MG_RATE,_T,-26.139
385,MKD,2001,DM_NET_MG_RATE,_T,3.576
386,MLI,2001,DM_NET_MG_RATE,_T,-1.081
387,MLT,2001,DM_NET_MG_RATE,_T,4.205
388,MMR,2001,DM_NET_MG_RATE,_T,-2.847
389,MNE,2001,DM_NET_MG_RATE,_T,-5.368
390,MNG,2001,DM_NET_MG_RATE,_T,-3.814
391,MNP,2001,DM_NET_MG_RATE,_T,-46.097
392,MOZ,2001,DM_NET_MG_RATE,_T,-2.818
393,MRT,2001,DM_NET_MG_RATE,_T,-7.609
394,MSR,2001,DM_NET_MG_RATE,_T,-43.331
395,MTQ,2001,DM_NET_MG_RATE,_T,-17.282
396,MUS,2001,DM_NET_MG_RATE,_T,-2.564
397,MWI,2001,DM_NET_MG_RATE,_T,-2.489
398,MYS,2001,DM_NET_MG_RATE,_T,8.465
399,MYT,2001,DM_NET_MG_RATE,_T,4.923
400,NAM,2001,DM_NET_MG_RATE,_T,1.547
401,NCL,2001,DM_NET_MG_RATE,_T,4.44
402,NER,2001,DM_NET_MG_RATE,_T,-0.72
403,NGA,2001,DM_NET_MG_RATE,_T,0.295
404,NIC,2001,DM_NET_MG_RATE,_T,-8.407
405,NIU,2001,DM_NET_MG_RATE,_T,-33.825
406,NLD,2001,DM_NET_MG_RATE,_T,1.106
407,NOR,2001,DM_NET_MG_RATE,_T,1.749
408,NPL,2001,DM_NET_MG_RATE,_T,-5.961
409,NRU,2001,DM_NET_MG_RATE,_T,-21.754
410,NZL,2001,DM_NET_MG_RATE,_T,4.417
411,OMN,2001,DM_NET_MG_RATE,_T,-8.485
412,PAK,2001,DM_NET_MG_RATE,_T,2.164
413,PAN,2001,DM_NET_MG_RATE,_T,0.933
414,PER,2001,DM_NET_MG_RATE,_T,-4.758
415,PHL,2001,DM_NET_MG_RATE,_T,-2.321
416,PLW,2001,DM_NET_MG_RATE,_T,-3.927
417,PNG,2001,DM_NET_MG_RATE,_T,7.389
418,POL,2001,DM_NET_MG_RATE,_T,-0.551
419,PRI,2001,DM_NET_MG_RATE,_T,-7.296
420,PRK,2001,DM_NET_MG_RATE,_T,-0.123
421,PRT,2001,DM_NET_MG_RATE,_T,5.518
422,PRY,2001,DM_NET_MG_RATE,_T,-5.296
423,PSE,2001,DM_NET_MG_RATE,_T,-7.91
424,PYF,2001,DM_NET_MG_RATE,_T,-1.689
425,QAT,2001,DM_NET_MG_RATE,_T,32.378
426,REU,2001,DM_NET_MG_RATE,_T,-2.095
427,ROU,2001,DM_NET_MG_RATE,_T,-4.01
428,RUS,2001,DM_NET_MG_RATE,_T,1.966
429,RWA,2001,DM_NET_MG_RATE,_T,-11.118
430,SAU,2001,DM_NET_MG_RATE,_T,0.888
431,SDN,2001,DM_NET_MG_RATE,_T,-5.042
432,SEN,2001,DM_NET_MG_RATE,_T,-4.167
433,SGP,2001,DM_NET_MG_RATE,_T,7.808
434,SHN,2001,DM_NET_MG_RATE,_T,-18.009
435,SLB,2001,DM_NET_MG_RATE,_T,-5.684
436,SLE,2001,DM_NET_MG_RATE,_T,48.017
437,SLV,2001,DM_NET_MG_RATE,_T,-15.46
438,SMR,2001,DM_NET_MG_RATE,_T,17.071
439,SOM,2001,DM_NET_MG_RATE,_T,4.449
440,SPM,2001,DM_NET_MG_RATE,_T,-6.364
441,SRB,2001,DM_NET_MG_RATE,_T,-0.001
442,SSD,2001,DM_NET_MG_RATE,_T,12.247
443,STP,2001,DM_NET_MG_RATE,_T,-8.78
444,SUR,2001,DM_NET_MG_RATE,_T,1.312
445,SVK,2001,DM_NET_MG_RATE,_T,-0.147
446,SVN,2001,DM_NET_MG_RATE,_T,-0.723
447,SWE,2001,DM_NET_MG_RATE,_T,3.293
448,SWZ,2001,DM_NET_MG_RATE,_T,-6.539
449,SXM,2001,DM_NET_MG_RATE,_T,-10.123
450,SYC,2001,DM_NET_MG_RATE,_T,4.478
451,SYR,2001,DM_NET_MG_RATE,_T,-1.097
452,TCA,2001,DM_NET_MG_RATE,_T,28.39
453,TCD,2001,DM_NET_MG_RATE,_T,0.407
454,TGO,2001,DM_NET_MG_RATE,_T,-0.332
455,THA,2001,DM_NET_MG_RATE,_T,1.973
456,TJK,2001,DM_NET_MG_RATE,_T,-3.062
457,TKL,2001,DM_NET_MG_RATE,_T,-13.027
458,TKM,2001,DM_NET_MG_RATE,_T,-1.953
459,TLS,2001,DM_NET_MG_RATE,_T,-11.015
460,TON,2001,DM_NET_MG_RATE,_T,-15.832
461,TTO,2001,DM_NET_MG_RATE,_T,-3.171
462,TUN,2001,DM_NET_MG_RATE,_T,-1.842
463,TUR,2001,DM_NET_MG_RATE,_T,-0.983
464,TUV,2001,DM_NET_MG_RATE,_T,-16.693
465,TWN,2001,DM_NET_MG_RATE,_T,0.466
466,TZA,2001,DM_NET_MG_RATE,_T,-3.509
467,UGA,2001,DM_NET_MG_RATE,_T,-3.867
468,UKR,2001,DM_NET_MG_RATE,_T,-2.256
