,REF_AREA,TIME_PERIOD,INDICATOR,AGE,SEX,OBS_VALUE
78,MYS,2016,GN_ED_ATTN,Y_GE25,M,58.07131
79,MYS,2016,GN_ED_ATTN,Y_GE25,F,58.60864
80,NLD,2016,GN_IT_MOB_OWN,_T,F,82.43
81,NLD,2016,GN_IT_MOB_OWN,_T,M,86.11
82,NZL,2016,GN_ED_ATTN,Y_GE25,F,68.31899
83,NZL,2016,GN_ED_ATTN,Y_GE25,M,71.89826
84,POL,2016,GN_ED_ATTN,Y_GE25,F,82.542
85,POL,2016,GN_ED_ATTN,Y_GE25,M,87.43842
86,SDN,2016,GN_IT_MOB_OWN,_T,F,54.2
87,SDN,2016,GN_IT_MOB_OWN,_T,M,70.3
88,TZA,2016,GN_IT_MOB_OWN,_T,F,52
89,TZA,2016,GN_IT_MOB_OWN,_T,M,69
90,VEN,2016,GN_ED_ATTN,Y_GE25,M,58.55176
91,VEN,2016,GN_ED_ATTN,Y_GE25,F,65.17639
92,AFG,2017,GN_FB_BNK_ACCSS,Y_GE15,M,22.54
93,AFG,2017,GN_FB_BNK_ACCSS,Y_GE15,F,7.16
94,ALB,2017,GN_FB_BNK_ACCSS,Y_GE15,F,38.1
95,ALB,2017,GN_FB_BNK_ACCSS,Y_GE15,M,42.04
96,ARE,2017,GN_FB_BNK_ACCSS,Y_GE15,F,76.42
97,ARE,2017,GN_FB_BNK_ACCSS,Y_GE15,M,92.67
98,ARG,2017,GN_FB_BNK_ACCSS,Y_GE15,M,46.47
99,ARG,2017,GN_FB_BNK_ACCSS,Y_GE15,F,50.76
100,ARM,2017,GN_FB_BNK_ACCSS,Y_GE15,F,40.91
101,ARM,2017,GN_FB_BNK_ACCSS,Y_GE15,M,55.75
102,ARM,2017,GN_ED_ATTN,Y_GE25,M,89.93428
103,ARM,2017,GN_ED_ATTN,Y_GE25,F,90.22909
104,AUS,2017,GN_FB_BNK_ACCSS,Y_GE15,F,99.2
105,AUS,2017,GN_FB_BNK_ACCSS,Y_GE15,M,99.85
106,AUT,2017,GN_ED_ATTN,Y_GE25,F,73.7654
107,AUT,2017,GN_ED_ATTN,Y_GE25,M,85.93864
108,AUT,2017,GN_FB_BNK_ACCSS,Y_GE15,M,97.93
109,AUT,2017,GN_FB_BNK_ACCSS,Y_GE15,F,98.38
110,AZE,2017,GN_FB_BNK_ACCSS,Y_GE15,F,27.72
111,AZE,2017,GN_FB_BNK_ACCSS,Y_GE15,M,29.44
112,AZE,2017,GN_ED_ATTN,Y_GE25,F,85.08451
113,AZE,2017,GN_ED_ATTN,Y_GE25,M,92.2037
114,BDI,2017,GN_IT_MOB_OWN,_T,F,11.87
115,BDI,2017,GN_IT_MOB_OWN,_T,M,25.34
116,BDI,2017,GN_ED_ATTN,Y_GE25,F,3.83777
117,BDI,2017,GN_ED_ATTN,Y_GE25,M,7.57016
118,BEL,2017,GN_ED_ATTN,Y_GE25,F,67.63782
119,BEL,2017,GN_ED_ATTN,Y_GE25,M,70.74452
120,BEL,2017,GN_FB_BNK_ACCSS,Y_GE15,M,98.45
121,BEL,2017,GN_FB_BNK_ACCSS,Y_GE15,F,98.82
122,BEN,2017,GN_FB_BNK_ACCSS,Y_GE15,F,28.59
123,BEN,2017,GN_FB_BNK_ACCSS,Y_GE15,M,48.62
124,BFA,2017,GN_FB_BNK_ACCSS,Y_GE15,F,34.5
125,BFA,2017,GN_FB_BNK_ACCSS,Y_GE15,M,51.28
126,BGD,2017,GN_IT_MOB_OWN,_T,F,30.91
127,BGD,2017,GN_FB_BNK_ACCSS,Y_GE15,F,35.84
128,BGD,2017,GN_IT_MOB_OWN,_T,M,54.3
129,BGD,2017,GN_FB_BNK_ACCSS,Y_GE15,M,64.59
130,BGR,2017,GN_FB_BNK_ACCSS,Y_GE15,M,70.62
131,BGR,2017,GN_FB_BNK_ACCSS,Y_GE15,F,73.64
132,BGR,2017,GN_ED_ATTN,Y_GE25,F,75.33677
133,BGR,2017,GN_ED_ATTN,Y_GE25,M,77.67054
134,BHR,2017,GN_FB_BNK_ACCSS,Y_GE15,F,75.41
135,BHR,2017,GN_FB_BNK_ACCSS,Y_GE15,M,86.31
136,BIH,2017,GN_FB_BNK_ACCSS,Y_GE15,F,54.74
137,BIH,2017,GN_FB_BNK_ACCSS,Y_GE15,M,63.18
138,BLR,2017,GN_FB_BNK_ACCSS,Y_GE15,M,80.93
139,BLR,2017,GN_FB_BNK_ACCSS,Y_GE15,F,81.34
140,BOL,2017,GN_FB_BNK_ACCSS,Y_GE15,F,53.85
141,BOL,2017,GN_FB_BNK_ACCSS,Y_GE15,M,54.98
142,BRA,2017,GN_FB_BNK_ACCSS,Y_GE15,F,67.51
143,BRA,2017,GN_FB_BNK_ACCSS,Y_GE15,M,72.85
144,BTN,2017,GN_ED_ATTN,Y_GE25,F,13.78464
145,BTN,2017,GN_ED_ATTN,Y_GE25,M,20.41818
146,BWA,2017,GN_FB_BNK_ACCSS,Y_GE15,F,46.79
147,BWA,2017,GN_FB_BNK_ACCSS,Y_GE15,M,56.21
148,CAF,2017,GN_FB_BNK_ACCSS,Y_GE15,M,18.08
149,CAF,2017,GN_FB_BNK_ACCSS,Y_GE15,F,9.72
150,CAN,2017,GN_FB_BNK_ACCSS,Y_GE15,M,99.59
151,CAN,2017,GN_FB_BNK_ACCSS,Y_GE15,F,99.85
152,CHE,2017,GN_FB_BNK_ACCSS,Y_GE15,M,97.98
153,CHE,2017,GN_FB_BNK_ACCSS,Y_GE15,F,98.86
154,CHL,2017,GN_ED_ATTN,Y_GE25,F,58.36588
155,CHL,2017,GN_ED_ATTN,Y_GE25,M,60.26116
156,CHL,2017,GN_FB_BNK_ACCSS,Y_GE15,F,71.27
157,CHL,2017,GN_FB_BNK_ACCSS,Y_GE15,M,77.75
158,CHL,2017,GN_IT_MOB_OWN,_T,M,86.67
159,CHL,2017,GN_IT_MOB_OWN,_T,F,97.15
160,CHN,2017,GN_FB_BNK_ACCSS,Y_GE15,F,76.36
161,CHN,2017,GN_FB_BNK_ACCSS,Y_GE15,M,83.97
162,CIV,2017,GN_FB_BNK_ACCSS,Y_GE15,F,35.56
163,CIV,2017,GN_FB_BNK_ACCSS,Y_GE15,M,46.6
