,REF_AREA,TIME_PERIOD,INDICATOR,AGE,SEX,OBS_VALUE
68,IDN,2001,WT_ADLS_15-19_ED_NEET,Y15T19,F,28.8
69,KHM,2001,WT_ADLS_15-19_ED_NEET,Y15T19,M,4
70,KHM,2001,WT_ADLS_15-19_ED_NEET,Y15T19,_T,5.4
71,KHM,2001,WT_ADLS_15-19_ED_NEET,Y15T19,F,6.7
72,MUS,2001,WT_ADLS_15-19_ED_NEET,Y15T19,M,22
73,MUS,2001,WT_ADLS_15-19_ED_NEET,Y15T19,_T,28.3
74,MUS,2001,WT_ADLS_15-19_ED_NEET,Y15T19,F,34.6
75,NIC,2001,WT_ADLS_15-19_ED_NEET,Y15T19,M,11.1
76,NIC,2001,WT_ADLS_15-19_ED_NEET,Y15T19,_T,21.8
77,NIC,2001,WT_ADLS_15-19_ED_NEET,Y15T19,F,33.2
78,PRY,2001,WT_ADLS_15-19_ED_NEET,Y15T19,_T,17.7
79,PRY,2001,WT_ADLS_15-19_ED_NEET,Y15T19,F,27
80,PRY,2001,WT_ADLS_15-19_ED_NEET,Y15T19,M,9.6
81,PSE,2001,WT_ADLS_15-19_ED_NEET,Y15T19,M,21.7
82,PSE,2001,WT_ADLS_15-19_ED_NEET,Y15T19,_T,24.9
83,PSE,2001,WT_ADLS_15-19_ED_NEET,Y15T19,F,28.2
84,TUR,2001,WT_ADLS_15-19_ED_NEET,Y15T19,M,20
85,TUR,2001,WT_ADLS_15-19_ED_NEET,Y15T19,_T,33.9
86,TUR,2001,WT_ADLS_15-19_ED_NEET,Y15T19,F,48.7
87,TZA,2001,WT_ADLS_15-19_ED_NEET,Y15T19,_T,11.1
88,TZA,2001,WT_ADLS_15-19_ED_NEET,Y15T19,F,12.4
89,TZA,2001,WT_ADLS_15-19_ED_NEET,Y15T19,M,9.8
90,URY,2001,WT_ADLS_15-19_ED_NEET,Y15T19,M,17.2
91,URY,2001,WT_ADLS_15-19_ED_NEET,Y15T19,_T,18.8
92,URY,2001,WT_ADLS_15-19_ED_NEET,Y15T19,F,20.4
93,USA,2001,WT_ADLS_15-19_ED_NEET,Y15T19,F,10.5
94,USA,2001,WT_ADLS_15-19_ED_NEET,Y15T19,M,8.6
95,USA,2001,WT_ADLS_15-19_ED_NEET,Y15T19,_T,9.5
96,ZAF,2001,WT_ADLS_15-19_ED_NEET,Y15T19,M,14.9
97,ZAF,2001,WT_ADLS_15-19_ED_NEET,Y15T19,_T,17.2
98,ZAF,2001,WT_ADLS_15-19_ED_NEET,Y15T19,F,19.7
99,BOL,2002,WT_ADLS_15-19_ED_NEET,Y15T19,M,12.6
100,BOL,2002,WT_ADLS_15-19_ED_NEET,Y15T19,_T,14
101,BOL,2002,WT_ADLS_15-19_ED_NEET,Y15T19,F,15.5
102,BRA,2002,WT_ADLS_15-19_ED_NEET,Y15T19,M,10.3
103,BRA,2002,WT_ADLS_15-19_ED_NEET,Y15T19,_T,14.2
104,BRA,2002,WT_ADLS_15-19_ED_NEET,Y15T19,F,18.2
105,CAN,2002,WT_ADLS_15-19_ED_NEET,Y15T19,F,11.4
106,CAN,2002,WT_ADLS_15-19_ED_NEET,Y15T19,_T,11.8
107,CAN,2002,WT_ADLS_15-19_ED_NEET,Y15T19,M,12.2
108,COL,2002,WT_ADLS_15-19_ED_NEET,Y15T19,M,18.9
109,COL,2002,WT_ADLS_15-19_ED_NEET,Y15T19,_T,25.8
110,COL,2002,WT_ADLS_15-19_ED_NEET,Y15T19,F,32.9
111,CRI,2002,WT_ADLS_15-19_ED_NEET,Y15T19,M,12.6
112,CRI,2002,WT_ADLS_15-19_ED_NEET,Y15T19,_T,19.3
113,CRI,2002,WT_ADLS_15-19_ED_NEET,Y15T19,F,26.4
114,DOM,2002,WT_ADLS_15-19_ED_NEET,Y15T19,_T,14.9
115,DOM,2002,WT_ADLS_15-19_ED_NEET,Y15T19,F,20.3
116,DOM,2002,WT_ADLS_15-19_ED_NEET,Y15T19,M,9.9
117,GIN,2002,WT_ADLS_15-19_ED_NEET,Y15T19,M,3.7
118,GIN,2002,WT_ADLS_15-19_ED_NEET,Y15T19,_T,4.2
119,GIN,2002,WT_ADLS_15-19_ED_NEET,Y15T19,F,4.7
120,IDN,2002,WT_ADLS_15-19_ED_NEET,Y15T19,M,19.3
121,IDN,2002,WT_ADLS_15-19_ED_NEET,Y15T19,_T,24.6
122,IDN,2002,WT_ADLS_15-19_ED_NEET,Y15T19,F,30.2
123,MUS,2002,WT_ADLS_15-19_ED_NEET,Y15T19,M,20.8
124,MUS,2002,WT_ADLS_15-19_ED_NEET,Y15T19,_T,25
125,MUS,2002,WT_ADLS_15-19_ED_NEET,Y15T19,F,29.3
126,PER,2002,WT_ADLS_15-19_ED_NEET,Y15T19,F,10.1
127,PER,2002,WT_ADLS_15-19_ED_NEET,Y15T19,M,7.2
128,PER,2002,WT_ADLS_15-19_ED_NEET,Y15T19,_T,8.6
129,PRY,2002,WT_ADLS_15-19_ED_NEET,Y15T19,M,11.3
130,PRY,2002,WT_ADLS_15-19_ED_NEET,Y15T19,_T,21.3
131,PRY,2002,WT_ADLS_15-19_ED_NEET,Y15T19,F,31.2
132,PSE,2002,WT_ADLS_15-19_ED_NEET,Y15T19,M,21.3
133,PSE,2002,WT_ADLS_15-19_ED_NEET,Y15T19,_T,22.7
134,PSE,2002,WT_ADLS_15-19_ED_NEET,Y15T19,F,24.2
135,TUR,2002,WT_ADLS_15-19_ED_NEET,Y15T19,M,22.3
136,TUR,2002,WT_ADLS_15-19_ED_NEET,Y15T19,_T,34.4
137,TUR,2002,WT_ADLS_15-19_ED_NEET,Y15T19,F,47.4
138,URY,2002,WT_ADLS_15-19_ED_NEET,Y15T19,M,16.6
139,URY,2002,WT_ADLS_15-19_ED_NEET,Y15T19,_T,18.5
140,URY,2002,WT_ADLS_15-19_ED_NEET,Y15T19,F,20.6
141,USA,2002,WT_ADLS_15-19_ED_NEET,Y15T19,F,10.3
142,USA,2002,WT_ADLS_15-19_ED_NEET,Y15T19,M,9.3
143,USA,2002,WT_ADLS_15-19_ED_NEET,Y15T19,_T,9.8
144,ZAF,2002,WT_ADLS_15-19_ED_NEET,Y15T19,M,13.8
145,ZAF,2002,WT_ADLS_15-19_ED_NEET,Y15T19,_T,16.6
146,ZAF,2002,WT_ADLS_15-19_ED_NEET,Y15T19,F,19.6
147,BRA,2003,WT_ADLS_15-19_ED_NEET,Y15T19,_T,14.1
148,BRA,2003,WT_ADLS_15-19_ED_NEET,Y15T19,F,18.4
149,BRA,2003,WT_ADLS_15-19_ED_NEET,Y15T19,M,9.8
150,CAN,2003,WT_ADLS_15-19_ED_NEET,Y15T19,F,11.9
151,CAN,2003,WT_ADLS_15-19_ED_NEET,Y15T19,_T,12.4
152,CAN,2003,WT_ADLS_15-19_ED_NEET,Y15T19,M,12.9
153,CHL,2003,WT_ADLS_15-19_ED_NEET,Y15T19,M,11.7
154,CHL,2003,WT_ADLS_15-19_ED_NEET,Y15T19,_T,14
155,CHL,2003,WT_ADLS_15-19_ED_NEET,Y15T19,F,16.5
156,COL,2003,WT_ADLS_15-19_ED_NEET,Y15T19,M,17.2
157,COL,2003,WT_ADLS_15-19_ED_NEET,Y15T19,_T,23.6
158,COL,2003,WT_ADLS_15-19_ED_NEET,Y15T19,F,30.3
159,CRI,2003,WT_ADLS_15-19_ED_NEET,Y15T19,M,14.8
160,CRI,2003,WT_ADLS_15-19_ED_NEET,Y15T19,_T,20.8
161,CRI,2003,WT_ADLS_15-19_ED_NEET,Y15T19,F,27.1
162,DOM,2003,WT_ADLS_15-19_ED_NEET,Y15T19,M,10.8
163,DOM,2003,WT_ADLS_15-19_ED_NEET,Y15T19,_T,15.1
164,DOM,2003,WT_ADLS_15-19_ED_NEET,Y15T19,F,19.9
165,ECU,2003,WT_ADLS_15-19_ED_NEET,Y15T19,M,12.9
166,ECU,2003,WT_ADLS_15-19_ED_NEET,Y15T19,_T,18.5
167,ECU,2003,WT_ADLS_15-19_ED_NEET,Y15T19,F,24.7
168,GTM,2003,WT_ADLS_15-19_ED_NEET,Y15T19,_T,19.8
169,GTM,2003,WT_ADLS_15-19_ED_NEET,Y15T19,F,33.5
170,GTM,2003,WT_ADLS_15-19_ED_NEET,Y15T19,M,4.9
171,IDN,2003,WT_ADLS_15-19_ED_NEET,Y15T19,M,20
172,IDN,2003,WT_ADLS_15-19_ED_NEET,Y15T19,_T,24.5
173,IDN,2003,WT_ADLS_15-19_ED_NEET,Y15T19,F,29.1
174,MUS,2003,WT_ADLS_15-19_ED_NEET,Y15T19,M,15
175,MUS,2003,WT_ADLS_15-19_ED_NEET,Y15T19,_T,22.3
176,MUS,2003,WT_ADLS_15-19_ED_NEET,Y15T19,F,29.8
177,PAN,2003,WT_ADLS_15-19_ED_NEET,Y15T19,M,13.5
178,PAN,2003,WT_ADLS_15-19_ED_NEET,Y15T19,_T,17.7
179,PAN,2003,WT_ADLS_15-19_ED_NEET,Y15T19,F,22.3
180,PER,2003,WT_ADLS_15-19_ED_NEET,Y15T19,F,11.1
181,PER,2003,WT_ADLS_15-19_ED_NEET,Y15T19,M,8.7
182,PER,2003,WT_ADLS_15-19_ED_NEET,Y15T19,_T,9.9
183,PRY,2003,WT_ADLS_15-19_ED_NEET,Y15T19,_T,16.6
184,PRY,2003,WT_ADLS_15-19_ED_NEET,Y15T19,F,23.9
185,PRY,2003,WT_ADLS_15-19_ED_NEET,Y15T19,M,9
186,PSE,2003,WT_ADLS_15-19_ED_NEET,Y15T19,M,17.5
187,PSE,2003,WT_ADLS_15-19_ED_NEET,Y15T19,_T,18.7
188,PSE,2003,WT_ADLS_15-19_ED_NEET,Y15T19,F,20
189,TJK,2003,WT_ADLS_15-19_ED_NEET,Y15T19,M,18.8
190,TJK,2003,WT_ADLS_15-19_ED_NEET,Y15T19,_T,24.6
191,TJK,2003,WT_ADLS_15-19_ED_NEET,Y15T19,F,30.2
192,TUR,2003,WT_ADLS_15-19_ED_NEET,Y15T19,M,23
193,TUR,2003,WT_ADLS_15-19_ED_NEET,Y15T19,_T,34.1
194,TUR,2003,WT_ADLS_15-19_ED_NEET,Y15T19,F,46
195,URY,2003,WT_ADLS_15-19_ED_NEET,Y15T19,M,17.8
196,URY,2003,WT_ADLS_15-19_ED_NEET,Y15T19,_T,19.1
197,URY,2003,WT_ADLS_15-19_ED_NEET,Y15T19,F,20.5
198,USA,2003,WT_ADLS_15-19_ED_NEET,Y15T19,M,9.4
199,USA,2003,WT_ADLS_15-19_ED_NEET,Y15T19,_T,9.6
200,USA,2003,WT_ADLS_15-19_ED_NEET,Y15T19,F,9.8
201,ZAF,2003,WT_ADLS_15-19_ED_NEET,Y15T19,M,13.8
202,ZAF,2003,WT_ADLS_15-19_ED_NEET,Y15T19,_T,16.6
203,ZAF,2003,WT_ADLS_15-19_ED_NEET,Y15T19,F,19.6
204,AGO,2004,WT_ADLS_15-19_ED_NEET,Y15T19,M,22.1
205,AGO,2004,WT_ADLS_15-19_ED_NEET,Y15T19,_T,28.6
206,AGO,2004,WT_ADLS_15-19_ED_NEET,Y15T19,F,34.4
207,ARG,2004,WT_ADLS_15-19_ED_NEET,Y15T19,M,14.4
208,ARG,2004,WT_ADLS_15-19_ED_NEET,Y15T19,_T,17.1
209,ARG,2004,WT_ADLS_15-19_ED_NEET,Y15T19,F,19.7
210,BOL,2004,WT_ADLS_15-19_ED_NEET,Y15T19,F,14.1
211,BOL,2004,WT_ADLS_15-19_ED_NEET,Y15T19,M,5.6
212,BOL,2004,WT_ADLS_15-19_ED_NEET,Y15T19,_T,9.9
213,BRA,2004,WT_ADLS_15-19_ED_NEET,Y15T19,_T,14
214,BRA,2004,WT_ADLS_15-19_ED_NEET,Y15T19,F,18.5
215,BRA,2004,WT_ADLS_15-19_ED_NEET,Y15T19,M,9.6
216,CAN,2004,WT_ADLS_15-19_ED_NEET,Y15T19,F,11.7
217,CAN,2004,WT_ADLS_15-19_ED_NEET,Y15T19,_T,12.2
218,CAN,2004,WT_ADLS_15-19_ED_NEET,Y15T19,M,12.7
219,COL,2004,WT_ADLS_15-19_ED_NEET,Y15T19,M,18.1
220,COL,2004,WT_ADLS_15-19_ED_NEET,Y15T19,_T,24.5
221,COL,2004,WT_ADLS_15-19_ED_NEET,Y15T19,F,31.2
222,COM,2004,WT_ADLS_15-19_ED_NEET,Y15T19,M,19
223,COM,2004,WT_ADLS_15-19_ED_NEET,Y15T19,_T,24
224,COM,2004,WT_ADLS_15-19_ED_NEET,Y15T19,F,29.1
225,CRI,2004,WT_ADLS_15-19_ED_NEET,Y15T19,M,11.9
226,CRI,2004,WT_ADLS_15-19_ED_NEET,Y15T19,_T,18.8
227,CRI,2004,WT_ADLS_15-19_ED_NEET,Y15T19,F,25.7
228,DOM,2004,WT_ADLS_15-19_ED_NEET,Y15T19,M,10.5
229,DOM,2004,WT_ADLS_15-19_ED_NEET,Y15T19,_T,14.8
230,DOM,2004,WT_ADLS_15-19_ED_NEET,Y15T19,F,19.6
231,ECU,2004,WT_ADLS_15-19_ED_NEET,Y15T19,_T,15.2
232,ECU,2004,WT_ADLS_15-19_ED_NEET,Y15T19,F,21.3
233,ECU,2004,WT_ADLS_15-19_ED_NEET,Y15T19,M,9.3
234,GTM,2004,WT_ADLS_15-19_ED_NEET,Y15T19,_T,25.9
235,GTM,2004,WT_ADLS_15-19_ED_NEET,Y15T19,F,44
236,GTM,2004,WT_ADLS_15-19_ED_NEET,Y15T19,M,7.4
237,IDN,2004,WT_ADLS_15-19_ED_NEET,Y15T19,M,19.9
